stage_b_order	accession	artifact_role	relative_path	bytes	sha256	row_sha256
3	GCF_002302315.1	annotation_aliases	canonical_objects/GCF_002302315.1/annotation_aliases.tsv	1176	fec3efc63aee59c51359be0e2b92f0057d771bb6ce355338d18f291bb1d68b97	50242e7505952ae7eaaca6824c614ae7cba83433dc29577e7e461e37ecc16016
3	GCF_002302315.1	canonical_manifest	canonical_objects/GCF_002302315.1/manifest.json	2344	6c35fa1a859b5a8ba4902cef15a9ef18fca011fb489b301fea713cc4c287f930	a847df055ce3ae0b8f4790ee84ddb0d3db91652cea2f65150085ce0544faac10
4	GCF_004664255.1	source_package	source_objects/GCF_004664255.1/package.zip	2034978	6e2e0aadfdac5029ea6f188fefcb65890726307562c7cc4db3e24e51572a6b87	0a5d43030dcdff108e7d76b9a90ddd1d05b4455c878cca95988c8c7d58d0dc00
4	GCF_004664255.1	source_manifest	source_objects/GCF_004664255.1/manifest.json	3830	361bcffcd420bc2f1e72d5dc81e70dca510349f39bc549f848ee14d7c1a163bf	fe32bc1d3a38e1965dba8bae915ff39a2f894e5eb08c921d4746e06528441715
4	GCF_004664255.1	canonical_bgzf	canonical_objects/GCF_004664255.1/GCF_004664255.1.pansn.fa.gz	1454522	f8b058d388a91cd25ba6e222f93a225801ca50ac7367f5e3bac035baebffcdf3	d9ea45e0ad0b49d90095ece010009691d014f5fcc553615f078399e4befeeeff
4	GCF_004664255.1	fai	canonical_objects/GCF_004664255.1/GCF_004664255.1.pansn.fa.gz.fai	7866	eec05b85badba0a8361e0612ea90e80a09b34f81850b613779a942c513362bfd	9fa60c9ea17946cb89a33f9d3504a4783cb763e20f57f5e5f3704874469ca9d1
4	GCF_004664255.1	gzi	canonical_objects/GCF_004664255.1/GCF_004664255.1.pansn.fa.gz.gzi	1272	f22d187dd8dd35b997fa6d42004707b29ae6a2c4be92fe609e78d0625a5b0ad5	a523dad466d2b2fd34a52a55f829b4e7a7b451e90501bbc01b64f4b93270635e
4	GCF_004664255.1	contig_crosswalk	canonical_objects/GCF_004664255.1/contigs.tsv	108601	19ac1b7cfbbf4759907e5c416fcdb8e00cece6eed870f38a14b1f8f91324bc48	c2c6e1eeff3de53bbd39e5468f52bb3e774087e90bde77119ee9b117e51e8924
4	GCF_004664255.1	annotation_aliases	canonical_objects/GCF_004664255.1/annotation_aliases.tsv	48804	5806d2c74ea76b1f57da1017e03bda43ba408b1ed47e669cf1144dfb5597ced2	d6df94324901e8b865cb4e461c9f8c89038212cc24ae8f5371a27cc95377d8de
4	GCF_004664255.1	canonical_manifest	canonical_objects/GCF_004664255.1/manifest.json	2349	ee3f180033def594c835eaa925933ed8691944ad4f4fbf691f3fe3b11faece85	b55fdcf06f440e01eb89ee20df26fdc0b283a7dcedbcf3f84544ce1de7491639
