stage	wall_seconds	exit_status	argv
mash-triangle-k21_s10000_seed43	4.691586	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed43/hosts.msh
rapidnj-k21_s10000_seed43	0.171976	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed43/full.phylip -i pd -o t
mash-sketch-k21_s10000_seed44	9.525391	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 10000 -S 44 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed44/hosts
mash-triangle-k21_s10000_seed44	4.743116	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed44/hosts.msh
rapidnj-k21_s10000_seed44	0.171296	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed44/full.phylip -i pd -o t
mash-sketch-k21_s10000_seed45	9.587853	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 10000 -S 45 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed45/hosts
mash-triangle-k21_s10000_seed45	4.711984	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed45/hosts.msh
rapidnj-k21_s10000_seed45	0.209580	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed45/full.phylip -i pd -o t
mash-sketch-k21_s10000_seed46	9.564625	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 10000 -S 46 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed46/hosts
mash-triangle-k21_s10000_seed46	4.718238	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed46/hosts.msh
rapidnj-k21_s10000_seed46	0.180158	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed46/full.phylip -i pd -o t
mash-sketch-k21_s10000_seed47	9.599148	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 10000 -S 47 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed47/hosts
mash-triangle-k21_s10000_seed47	4.669997	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed47/hosts.msh
rapidnj-k21_s10000_seed47	0.172311	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed47/full.phylip -i pd -o t
mash-sketch-k21_s10000_seed48	9.567891	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 10000 -S 48 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed48/hosts
mash-triangle-k21_s10000_seed48	4.643075	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed48/hosts.msh
rapidnj-k21_s10000_seed48	0.164353	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed48/full.phylip -i pd -o t
core-map-L001-primary_reference	0.655915	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tools/bin/minimap2 -x asm5 -c --secondary=no -t 8 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009899475.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009899475.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_013073585.1.fa
core-map-L001-primary_reference	6.211395	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tools/bin/minimap2 -x asm5 -c --secondary=no -t 8 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009899475.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009899475.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_013073585.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_900499355.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_014169415.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_916160245.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001521415.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_019104325.1.fa /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_016786005.1.fa
