scope	dimension	category	count	denominator	fraction	unit	denominator_label	notes
all	per_genome_hit_scaffold_count	16	5	26077	0.0001917398474	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
all	per_genome_hit_scaffold_count	17	1	26077	3.834796948e-05	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
all	per_genome_hit_scaffold_count	19	1	26077	3.834796948e-05	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
transposable_flag_positive	transposable_exact	1.0	7695	7695	1	records	transposable_flag_positive source records	exact source string
transposable_flag_positive	taxonomy_exact	Myoviridae	2269	7695	0.2948667966	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Siphoviridae	2216	7695	0.2879792073	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Unknown	1553	7695	0.2018193632	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Podoviridae	862	7695	0.1120207927	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Siphoviridae / Podoviridae	506	7695	0.06575698506	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Myoviridae / Siphoviridae	124	7695	0.01611435997	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Myoviridae / Podoviridae	110	7695	0.01429499675	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae	48	7695	0.006237816764	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Inoviridae	2	7695	0.0002599090318	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Siphoviridae / Microviridae	2	7695	0.0002599090318	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Microviridae	1	7695	0.0001299545159	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae / Fuselloviridae	1	7695	0.0001299545159	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_exact	Siphoviridae / Podoviridae / Bicaudaviridae	1	7695	0.0001299545159	records	transposable_flag_positive source records	exact source string; source semantics otherwise unknown
transposable_flag_positive	taxonomy_assignment	assigned	6142	7695	0.7981806368	records	transposable_flag_positive source records	Unknown is treated as unassigned only for the competing subset
transposable_flag_positive	taxonomy_assignment	Unknown/missing	1553	7695	0.2018193632	records	transposable_flag_positive source records	Unknown is treated as unassigned only for the competing subset
transposable_flag_positive	scaffold_accession_prefix	NZ_	7625	7695	0.9909031839	records	transposable_flag_positive source records	identifier prefix only; not a chromosome/plasmid classification
transposable_flag_positive	scaffold_accession_prefix	NC_	70	7695	0.009096816114	records	transposable_flag_positive source records	identifier prefix only; not a chromosome/plasmid classification
transposable_flag_positive	coordinate_validity	valid_begin_ge_1_end_ge_begin	7695	7695	1	records	transposable_flag_positive source records	record-level
transposable_flag_positive	length_qc_class	1000_to_200000_bp_inclusive	7695	7695	1	unique loci	valid unique loci	diagnostic bins, not biological quality classes
transposable_flag_positive	field_missingness	end	0	7695	0	missing records	transposable_flag_positive source records	empty-string missingness
transposable_flag_positive	field_missingness	genome	0	7695	0	missing records	transposable_flag_positive source records	empty-string missingness
transposable_flag_positive	field_missingness	scaffold	0	7695	0	missing records	transposable_flag_positive source records	empty-string missingness
transposable_flag_positive	field_missingness	begin	0	7695	0	missing records	transposable_flag_positive source records	empty-string missingness
transposable_flag_positive	field_missingness	transposable	0	7695	0	missing records	transposable_flag_positive source records	empty-string missingness
transposable_flag_positive	field_missingness	taxonomy	0	7695	0	missing records	transposable_flag_positive source records	empty-string missingness
transposable_flag_positive	field_missingness	prophage_id	0	7695	0	missing records	transposable_flag_positive source records	empty-string missingness
transposable_flag_positive	per_genome_locus_count_class	multiple	1196	26077	0.04586417149	genomes	normalized denominator genomes	unique loci; zero genomes included
transposable_flag_positive	per_genome_locus_count_class	one	4446	26077	0.1704950723	genomes	normalized denominator genomes	unique loci; zero genomes included
transposable_flag_positive	per_genome_locus_count_class	zero	20435	26077	0.7836407562	genomes	normalized denominator genomes	unique loci; zero genomes included
transposable_flag_positive	per_genome_hit_scaffold_count	0	20435	26077	0.7836407562	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
transposable_flag_positive	per_genome_hit_scaffold_count	1	5028	26077	0.1928135905	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
transposable_flag_positive	per_genome_hit_scaffold_count	2	557	26077	0.021359819	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
transposable_flag_positive	per_genome_hit_scaffold_count	3	46	26077	0.001764006596	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
transposable_flag_positive	per_genome_hit_scaffold_count	4	5	26077	0.0001917398474	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
transposable_flag_positive	per_genome_hit_scaffold_count	5	3	26077	0.0001150439084	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
transposable_flag_positive	per_genome_hit_scaffold_count	6	3	26077	0.0001150439084	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	transposable_exact	0.0	109300	115442	0.9467957936	records	taxonomy_assigned source records	exact source string
taxonomy_assigned	transposable_exact	1.0	6142	115442	0.05320420644	records	taxonomy_assigned source records	exact source string
taxonomy_assigned	taxonomy_exact	Myoviridae	49342	115442	0.4274180974	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Siphoviridae	36897	115442	0.3196150448	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Podoviridae	20420	115442	0.1768853623	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Siphoviridae / Podoviridae	4314	115442	0.03736941494	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Podoviridae	2395	115442	0.02074634882	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Siphoviridae	1025	115442	0.008878917552	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae	844	115442	0.007311030647	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Siphoviridae / Podoviridae / Bicaudaviridae	150	115442	0.001299353788	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Siphoviridae / Bicaudaviridae	15	115442	0.0001299353788	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae / Fuselloviridae	13	115442	0.0001126106616	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Siphoviridae / Bicaudaviridae	7	115442	6.063651011e-05	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Microviridae	5	115442	4.331179293e-05	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Siphoviridae / Microviridae	4	115442	3.464943435e-05	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Bicaudaviridae	3	115442	2.598707576e-05	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Inoviridae	2	115442	1.732471717e-05	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Bicaudaviridae	2	115442	1.732471717e-05	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Microviridae	1	115442	8.662358587e-06	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Siphoviridae / Microviridae	1	115442	8.662358587e-06	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae / Bicaudaviridae	1	115442	8.662358587e-06	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
taxonomy_assigned	taxonomy_exact	Podoviridae / Bicaudaviridae	1	115442	8.662358587e-06	records	taxonomy_assigned source records	exact source string; source semantics otherwise unknown
