scope	metric	value	unit	denominator	denominator_label	fraction	notes
taxonomy_assigned	unique_locus_span_end_minus_begin_median	25574	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_p75	36446	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_p95	48859.95	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_p99	87766	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_max	222283	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_mean	26785.97435	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_population_sd	15767.61211	bp/locus	115442	valid unique loci		
taxonomy_assigned	overlap_pairs	0	locus pairs	115442	valid unique loci		
taxonomy_assigned	overlap_participating_loci	0	loci	115442	valid unique loci	0	
taxonomy_assigned	pairwise_overlap_bp	0	bp	0	overlapping locus pairs		
taxonomy_assigned	one_bp_overlap_pairs	0	locus pairs	0	overlapping locus pairs		
taxonomy_assigned	nested_pairs	0	locus pairs	115442	valid unique loci		
taxonomy_assigned	nested_participating_loci	0	loci	115442	valid unique loci	0	
taxonomy_assigned	begin_le_3	11897	loci	115442	valid unique loci	0.1030560801	diagnostic threshold; not proof of artifact
taxonomy_assigned	length_lt_1000_bp	120	loci	115442	valid unique loci	0.00103948303	diagnostic threshold; not proof of artifact
taxonomy_assigned	length_gt_200000_bp	1	loci	115442	valid unique loci	8.662358587e-06	diagnostic threshold; not proof of artifact
schema	explicit_tag_columns	0	columns	7	CSV columns	0	no exact column with this name; do not infer unsupported stratification
schema	explicit_status_columns	0	columns	7	CSV columns	0	no exact column with this name; do not infer unsupported stratification
schema	explicit_quality_columns	0	columns	7	CSV columns	0	no exact column with this name; do not infer unsupported stratification
schema	explicit_completeness_columns	0	columns	7	CSV columns	0	no exact column with this name; do not infer unsupported stratification
schema	explicit_chromosome_role_columns	0	columns	7	CSV columns	0	no exact column with this name; do not infer unsupported stratification
schema	class_like_columns	1	columns	7	CSV columns	0.1428571429	taxonomy
schema	flag_like_columns	1	columns	7	CSV columns	0.1428571429	transposable
