scope	metric	value	unit	denominator	denominator_label	fraction	notes
all	per_genome_total_bp_1based_closed_population_sd	91255.31199	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_min	532	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_p01	10624.76	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_p05	27756	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_p25	67151	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_median	106460	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_p75	158167	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_p95	275627	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_p99	542810.2	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_max	903658	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_mean	125098.5475	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_total_bp_end_minus_begin_population_sd	91252.98677	bp/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_min	1	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_p01	1	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_p05	1	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_p25	2	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_median	4	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_p75	5	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_p95	8	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_p99	10	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_max	19	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	per_genome_hit_scaffold_count_mean	4.056946735	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
