event	type	at	message	retry_disposition	row_sha256
RUN_FAILED	GateError	2026-07-25T03:07:55.836721Z	"end resource gate NO_GO: {""all_preflight_records_pass"": true, ""configured_projection_ge_modeled_upper95"": true, ""measured_files_le_50pct_inodes"": true, ""measured_peak_bytes_le_70pct_allocation"": true, ""measured_peak_le_modeled_upper95"": true, ""peak_rss_le_70pct_assigned"": true, ""process_swap_events_zero"": true, ""scale_allocation_retains_2x_unfinished_after_measured_peak"": true, ""scale_canonical_time_exponent_upper_bound_le_1_3"": true, ""scale_last_two_rung_per_base_slope_changes_le_25pct"": true, ""scale_measured_disk_le_70pct_allocation"": true, ""scale_measured_files_le_50pct_inode_allocation"": true, ""scale_measured_files_within_pinned_n1000_upper95"": true, ""scale_measured_rss_le_70pct_assigned_ram"": true, ""scale_measured_rss_within_pinned_n1000_upper95"": true, ""scale_measured_source_within_pinned_n1000_upper95"": true, ""scale_measured_stage_within_pinned_n1000_upper95"": true, ""scale_measured_wall_within_explicit_time_allocation"": true, ""scale_measured_wall_within_pinned_n1000_upper95"": true, ""system_swap_growth_zero"": false}"	STOPPED_NO_PUBLICATION_RESUMED_FROM_CHECKSUM_VALIDATED_UNITS	e9ece8599b877f5c2ec400d952ba7f003936c57597b0b2a48008894772ed2123
RUN_FAILED	GateError	2026-07-25T03:13:07.901986Z	"end resource gate NO_GO: {""all_preflight_records_pass"": true, ""configured_projection_ge_modeled_upper95"": true, ""measured_files_le_50pct_inodes"": true, ""measured_peak_bytes_le_70pct_allocation"": true, ""measured_peak_le_modeled_upper95"": true, ""peak_rss_le_70pct_assigned"": true, ""process_swap_events_zero"": true, ""scale_allocation_retains_2x_unfinished_after_measured_peak"": true, ""scale_canonical_time_exponent_upper_bound_le_1_3"": true, ""scale_last_two_rung_per_base_slope_changes_le_25pct"": true, ""scale_measured_disk_le_70pct_allocation"": true, ""scale_measured_files_le_50pct_inode_allocation"": true, ""scale_measured_files_within_pinned_n1000_upper95"": true, ""scale_measured_rss_le_70pct_assigned_ram"": true, ""scale_measured_rss_within_pinned_n1000_upper95"": true, ""scale_measured_source_within_pinned_n1000_upper95"": true, ""scale_measured_stage_within_pinned_n1000_upper95"": true, ""scale_measured_wall_within_explicit_time_allocation"": true, ""scale_measured_wall_within_pinned_n1000_upper95"": true, ""system_swap_growth_zero"": false}"	STOPPED_NO_PUBLICATION_RESUMED_FROM_CHECKSUM_VALIDATED_UNITS	7a1fd3b13500737702876bace4307b2530af40293bccaa6efe67c24499a94a1b
RUN_FAILED	GateError	2026-07-25T03:17:26.563483Z	"end resource gate NO_GO: {""all_preflight_records_pass"": true, ""configured_projection_ge_modeled_upper95"": true, ""measured_files_le_50pct_inodes"": true, ""measured_peak_bytes_le_70pct_allocation"": true, ""measured_peak_le_modeled_upper95"": true, ""peak_rss_le_70pct_assigned"": true, ""process_swap_events_zero"": true, ""scale_allocation_retains_2x_unfinished_after_measured_peak"": true, ""scale_canonical_time_exponent_upper_bound_le_1_3"": true, ""scale_last_two_rung_per_base_slope_changes_le_25pct"": true, ""scale_measured_disk_le_70pct_allocation"": true, ""scale_measured_files_le_50pct_inode_allocation"": true, ""scale_measured_files_within_pinned_n1000_upper95"": true, ""scale_measured_rss_le_70pct_assigned_ram"": true, ""scale_measured_rss_within_pinned_n1000_upper95"": true, ""scale_measured_source_within_pinned_n1000_upper95"": true, ""scale_measured_stage_within_pinned_n1000_upper95"": true, ""scale_measured_wall_within_explicit_time_allocation"": true, ""scale_measured_wall_within_pinned_n1000_upper95"": true, ""system_swap_growth_zero"": false}"	STOPPED_NO_PUBLICATION_RESUMED_FROM_CHECKSUM_VALIDATED_UNITS	4469b424f7adc59dce4712aaaf76d1e0b722d839e2bb68e0f91186e17d0540c1
